number,state,value,datetime_start,datetime_complete,activation,filters,kernel_size,strides,_Datetime_epoch_begin,_Datetime_epoch_end,_Trial_num,acc,loss,val_acc,val_loss,system_attrs__number,intermediate_values_0,intermediate_values_1
0,TrialState.COMPLETE,0.27812579770088197,2019-05-10 04:19:42.216573,2019-05-10 04:19:44.612691,linear,32,3,1,2019-05-10 04:19:43.648491,2019-05-10 04:19:44.440806,0,0.9175333333015442,0.29005808016459145,0.920299999332428,0.27812579770088197,0,0.2864150909900665,0.27812579770088197
1,TrialState.COMPLETE,0.09391314513683319,2019-05-10 04:19:44.615083,2019-05-10 04:19:46.924555,relu,32,5,1,2019-05-10 04:19:45.942676,2019-05-10 04:19:46.767500,1,0.9635333333651225,0.13105445454518,0.9753000003814697,0.09391314513683319,1,0.17462903962135315,0.09391314513683319
2,TrialState.COMPLETE,0.09512007229328155,2019-05-10 04:19:46.930956,2019-05-10 04:19:50.438816,relu,64,3,1,2019-05-10 04:19:48.866225,2019-05-10 04:19:50.275946,2,0.9639166666666666,0.12976703294912975,0.9730000004768372,0.09512007229328155,2,0.16307003526687622,0.09512007229328155
3,TrialState.COMPLETE,0.07454753894805909,2019-05-10 04:19:50.441113,2019-05-10 04:19:53.615656,relu,64,5,1,2019-05-10 04:19:52.213039,2019-05-10 04:19:53.455222,3,0.9701166666984559,0.10600946427186331,0.9789000005722046,0.07454753894805909,3,0.13624945082664489,0.07454753894805909
4,TrialState.COMPLETE,0.2801971245765686,2019-05-10 04:19:53.619008,2019-05-10 04:19:56.626001,linear,64,3,1,2019-05-10 04:19:55.311532,2019-05-10 04:19:56.464058,4,0.9179666666666667,0.29010065008799235,0.920099999332428,0.2801971245765686,4,0.2886344068527222,0.2801971245765686
5,TrialState.PRUNED,0.18162014017105102,2019-05-10 04:19:56.628937,2019-05-10 04:19:58.555158,relu,64,3,1,2019-05-10 04:19:56.900678,2019-05-10 04:19:58.500785,5,0.8926000000317892,0.3932284937500954,0.9505999994277954,0.18162014017105102,5,0.18162014017105102,
6,TrialState.COMPLETE,0.27671708006858825,2019-05-10 04:19:58.696849,2019-05-10 04:20:00.795265,linear,32,5,1,2019-05-10 04:19:59.925384,2019-05-10 04:20:00.635279,6,0.9153166666984558,0.29822197783788046,0.9231999995231629,0.27671708006858825,6,0.2939936264038086,0.27671708006858825
7,TrialState.PRUNED,0.16445156388282775,2019-05-10 04:20:00.799011,2019-05-10 04:20:02.133248,relu,32,5,1,2019-05-10 04:20:01.067841,2019-05-10 04:20:02.080797,7,0.8852500000317891,0.4236857208967209,0.953900000667572,0.16445156388282775,7,0.16445156388282775,
8,TrialState.COMPLETE,0.1257678473711014,2019-05-10 04:20:02.276666,2019-05-10 04:20:04.718142,relu,32,3,1,2019-05-10 04:20:03.671912,2019-05-10 04:20:04.555842,8,0.9538833333333333,0.16529693659146627,0.9659999999046326,0.1257678473711014,8,0.19888392987251283,0.1257678473711014
9,TrialState.PRUNED,0.17078880662918092,2019-05-10 04:20:04.721698,2019-05-10 04:20:06.660074,relu,64,3,1,2019-05-10 04:20:04.998485,2019-05-10 04:20:06.604917,9,0.8940333333333333,0.3909480799913406,0.9509000007629395,0.17078880662918092,9,0.17078880662918092,
10,TrialState.PRUNED,0.2925186465263367,2019-05-10 04:20:06.799675,2019-05-10 04:20:08.010204,linear,32,5,1,2019-05-10 04:20:07.061630,2019-05-10 04:20:07.959327,10,0.8769333333651225,0.43361019871234896,0.9179999993324279,0.2925186465263367,10,0.2925186465263367,
11,TrialState.PRUNED,0.18662063550949096,2019-05-10 04:20:08.151805,2019-05-10 04:20:10.092527,relu,64,3,1,2019-05-10 04:20:08.424810,2019-05-10 04:20:10.035252,11,0.8927499999682108,0.3963426685412725,0.9482000003814697,0.18662063550949096,11,0.18662063550949096,
12,TrialState.PRUNED,0.2881652448654175,2019-05-10 04:20:10.250075,2019-05-10 04:20:11.526119,linear,32,3,1,2019-05-10 04:20:10.514851,2019-05-10 04:20:11.473697,12,0.8760500000317891,0.4465866474072138,0.9174999994277954,0.2881652448654175,12,0.2881652448654175,
13,TrialState.COMPLETE,0.28381368179321287,2019-05-10 04:20:11.674686,2019-05-10 04:20:14.424053,linear,64,5,1,2019-05-10 04:20:13.229282,2019-05-10 04:20:14.259761,13,0.9161333333015442,0.2935950547218323,0.9225999994277954,0.28381368179321287,13,0.29949342927932737,0.28381368179321287
